id,name_id,year,total_surveys,total_volunteers,total_volunteer_min,total_length_m,additional_area_cleaned_m,total_bags,total_weight_kg,total_litter,avg_per_100m,updated_at
1,1,2024,1266,15194,1541861,147812,216555,3904,16858.1,977599,209,2025-08-18 18:46:11
2,1,2023,1223,14421,1461102,150263,250427,3755,17530.4,642195,205.1,2025-08-18 18:46:11
3,1,2022,1163,13641,1305258,157645,220592,3696,17814.9,500482,197,2025-08-18 18:46:11
4,1,2021,1006,9533,997357,126880,187948,3101,11660,413381,241.5,2025-08-18 18:46:11
5,1,2020,664,5083,509677,80502,109644,1522,7282,366577,221.1,2025-08-18 18:46:11
6,1,2019,1051,27196,2742993,139080,299186,4306,19113.2,635297,274,2025-08-18 18:46:11
7,1,2018,1189,27260,2761956,168803,329106,5463,19443.2,775371,276,2025-08-18 18:46:11
8,1,2017,960,12766,1373443,149704,459687,4134,12678,560554,274.5,2025-08-18 18:46:11
9,1,2016,833,11454,1040035,156114,250262,4344,15931.8,513943,337.5,2025-08-18 18:46:11
10,1,2015,602,9441,962634,157148,107824,3869,17683.3,359569,303.5,2025-08-18 18:46:11
11,1,2014,722,8630,835228,311950,115709,4743,15111.1,431537,304.3,2025-08-18 18:46:11
12,1,2013,632,7218,657854,291146,73436,3716,13164.7,305414,291.2,2025-08-18 18:46:11
13,1,2012,650,9076,711394,244085,77389,4510,17502.2,357947,302,2025-08-18 18:46:11
14,1,2011,718,8628,545096,306448,49334,4334,14703,338869,248.6,2025-08-18 18:46:11
15,1,2010,755,9408,582818,327708,42798,5527,22984.9,382488,222.4,2025-08-18 18:46:11
16,1,2009,823,10724,766353,360987,27840,5561,19636.3,495374,224.6,2025-08-18 18:46:11
17,1,2008,798,10442,660490,330332,0,6103,26823.8,486689,234.4,2025-08-18 18:46:11
18,1,2007,715,8332,563851,306501,0,5197,30910.8,406773,203,2025-08-18 18:46:11
19,1,2006,709,8339,484669,350373,0,5591,21696.4,376818,203.7,2025-08-18 18:46:11
20,1,2005,679,7473,305301,336960,0,4960,23013.8,345091,211.7,2025-08-18 18:46:11
21,1,2004,482,5113,7289,219730,0,4020,18769.8,256886,241.6,2025-08-18 18:46:11
22,1,2003,400,4217,6145,193732,0,3812,12684.2,215753,262.6,2025-08-18 18:46:11
23,1,2002,378,3757,3072,203239,0,2848,19923.9,155923,193.6,2025-08-18 18:46:11
24,1,2001,322,2803,59576,172882,0,2316,12633,132483,177.5,2025-08-18 18:46:11
25,1,2000,239,2108,78457,139621,0,1676,7433.5,129512,204.7,2025-08-18 18:46:11
